City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
501,okha,53.5739,142.9478,60.4,81,54,11.59,RU,1690506896
502,borogontsy,62.6683,131.1683,68.88,38,100,4.45,RU,1690506897
503,puerto maldonado,-12.6,-69.1833,71.53,84,46,2.89,PE,1690506898
504,nemuro,43.3236,145.575,64.67,93,71,1.23,JP,1690506899
505,novoishimskiy,53.1981,66.7694,66.18,70,22,5.59,KZ,1690506899
506,viljoenskroon,-27.2084,26.9485,50.23,65,0,7.25,ZA,1690506900
507,terme,41.2092,36.9739,75.13,86,100,17.65,TR,1690506900
508,peace river,56.2501,-117.286,68.31,48,40,9.22,CA,1690506900
509,kargasok,59.0556,80.8572,64.53,81,7,3.13,RU,1690506901
510,aral,40.5156,81.2636,84.72,27,39,5.79,CN,1690506901
511,kegen,43.0197,79.2203,62.51,56,100,1.1,KZ,1690506902
512,jinghong,21.991,100.7341,83.23,66,34,1.36,CN,1690506903
513,teterow,53.7833,12.5667,62.91,96,100,4.0,DE,1690506904
514,the pas,53.8251,-101.2541,60.28,63,39,5.88,CA,1690506680
515,caluula,11.9661,50.7569,89.11,48,100,15.23,SO,1690506905
516,vila velha,-20.3297,-40.2925,69.94,89,40,4.61,BR,1690506906
517,impfondo,1.6381,18.0667,74.05,80,59,2.17,CG,1690506906
518,faya-largeau,17.9257,19.1043,89.64,12,8,6.64,TD,1690506907
519,maputo,-25.9653,32.5892,62.28,77,0,12.66,MZ,1690506908
520,salekhard,66.53,66.6019,62.4,88,3,6.44,RU,1690506908
521,aykhal,66.0,111.5,63.18,57,100,2.53,RU,1690506909
522,cosolapa,18.5833,-96.65,74.59,93,97,2.37,MX,1690506909
523,hargeysa,9.56,44.065,68.74,60,94,29.89,SO,1690506910
524,villa gesell,-37.2639,-56.973,46.06,78,100,5.55,AR,1690506769
525,zouerate,22.7187,-12.4521,85.14,24,2,15.68,MR,1690506911
526,burang,30.25,81.1667,50.13,89,99,4.52,CN,1690506636
527,atlantis,-33.5667,18.4834,46.98,85,0,3.49,ZA,1690506912
528,newman,37.3138,-121.0208,97.03,13,0,10.96,US,1690506912
529,shakawe,-18.3667,21.85,57.72,43,30,6.04,BW,1690506913
530,azul,-36.777,-59.8585,41.41,87,100,5.37,AR,1690506913
531,vorkuta,67.5,64.0,59.11,91,100,0.63,RU,1690506914
532,dumbea,-22.15,166.45,73.36,99,86,9.48,NC,1690506915
533,susanville,40.4163,-120.653,85.84,18,0,11.5,US,1690506491
534,happy valley-goose bay,53.3168,-60.3315,62.91,59,75,13.8,CA,1690506916
535,shahzadpur,24.1667,89.6,84.18,79,98,9.46,BD,1690506916
536,kuanda,56.3161,116.0806,70.59,75,100,1.03,RU,1690506917
537,mount isa,-20.7333,139.5,78.57,47,45,10.36,AU,1690506917
538,tolanaro,-25.0319,46.9987,63.55,85,11,10.04,MG,1690506918
